Product_id,Stall_no,instock_date,Market_Category,Customer_name,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
SHIEBKMSYJFA9XZT,14,28:03.0,1,Arantxa,No ,Fashion,0,74,0,,11,786,,2582.8605
NKCE7S69FPFG9S5C,17,30:14.0,3,Jaslene,Yes,Educational,0,57,0,120,10,1806,2510,2265.566976
BRAE8WYH2TFGZAQG,14,37:05.0,294,Tristin,No ,Hospitality,2,29,0,273,9,1876,4092,3251.540775
NKCE8UUWSCRYZFAD,36,34:19.0,456,Elvia,Yes,Hospitality,0,56,0,318,8,4184,6956,5854.748256
ACCDX9Y3MJET7BHY,24,15:57.0,137,Freja,Yes,Organic,0,7,1,139,7,5821,19237,1901.325348
SNDEDNFG7ZNRNAGM,10,19:46.0,250,Skyler,Yes,Organic,0,72,0,124,6,3801,6159,5055.9201
FABE9Q5X2QG4P5BW,27,32:09.0,451,Yuvraj,No ,Child_care,0,16,0,317,16,4757,7174,6291.410796
NKCECHHZSUD4KNZF,40,20:18.0,198,Zahraa,Yes,Repair,0,93,0,215,7,3165,4178,3833.067392
RTRE3KKX6DHYNZBK,18,40:57.0,451,Nihira,Yes,Hospitality,0,22,0,297,11,8289,11444,10148.91413
NKCE9ZYAD6P2SWT8,32,56:01.0,211,Zamarion,Yes,Cosmetics,0,84,0,253,17,5176,7755,6632.585344
SNDEHFQA8YU6WANZ,9,19:46.0,283,Bria,Yes,Educational,0,81,0,134,12,5673,9323,7530.9696
TOPE93YJPJDNW5EP,9,12:49.0,236,Addilyn,Yes,Pet_care,0,8,0,130,8,1266,8600,5066.443305
SHIE3QDHGXSE3PYE,19,16:49.0,358,Jadiel,Yes,Pet_care,3,80,0,153,6,9673,15573,12495.93968
BRAE2NF6S2ZYBQWQ,36,48:23.0,23,Tahj,Yes,Hospitality,2,27,0,251,7,1077,2207,1889.414625
SGLEJFUHZSTHYJZF,25,02:00.0,63,Jeancarlo,Yes,Pet_care,1,44,0,147,5,5824,8860,7444.716912
SHOE6XNZAFUF2SHZ,16,22:39.0,3,Mona,Yes,Cosmetics,0,66,0,266,13,990,3013,2247.399
DKOEEY6F7TGXSD4X,35,08:56.0,165,,Yes,Cosmetics,0,23,0,222,14,4818,7435,6341.1873
BRAE8TFHWYCTDUM3,17,08:45.0,101,Roslyn,No ,Repair,0,19,0,,9,950,1580,1563.983586
BRAECBUGKYS92MSZ,33,36:58.0,101,Konner,No ,Organic,0,85,0,104,9,1179,1753,1548.692992
ACCE6DZC4SANU636,29,12:54.0,423,Otis,No ,Repair,0,12,0,280,8,4843,8913,7162.78365
NKCE5T3GVHYKZSDH,5,54:47.0,14,Karisma,Yes,Child_care,0,61,0,323,14,5682,,7056.7299
PACE5VYXRZBQ3FVR,8,23:34.0,451,Yuri,No ,Home_decor,0,45,0,262,13,4526,6800,5894.392896
TUNEBYH39YV2GFFT,25,41:35.0,11,Madhav,Yes,Pet_care,3,85,1,166,7,558,1469,174.4822464
SHIEBZY34GZUFZQX,21,15:41.0,443,Rivka,Yes,Technology,0,40,1,613,13,5658,8363,1119.131441
ACCDXFPYAGWPT5WZ,40,15:57.0,24,Emmelia,Yes,Educational,0,88,1,170,16,7236,9829,1288.595616
TOPE494XPFCSZA6H,27,56:30.0,358,Kaedyn,Yes,Child_care,3,71,0,310,8,4293,19849,12266.7534
BRAE74BRUJV9K63H,23,32:24.0,443,Neveah,Yes,Hospitality,0,34,1,339,5,5975,8226,1113.666356
NKCEDE8GYSZDZG5M,23,54:33.0,451,Jaxten,No ,Home_decor,0,31,0,222,13,6057,7466,6974.809275
TSHE4DNGZFWK6GYR,1,55:13.0,211,Zadyn,Yes,Repair,0,15,0,260,8,497,7855,4438.896066
JEAEGE8RNMHJPFJW,37,47:26.0,23,Ivyanna,No ,Technology,2,31,0,521,7,4306,13430,9371.721975
DRPEGXZUPDVVDCZV,24,09:36.0,58,Nile,Yes,Fashion,1,55,0,374,17,3538,4756,4499.07048
SNDEHZPHCXP7ZTFA,36,15:33.0,62,Arlen,Yes,Repair,0,71,1,251,1,1968,6703,681.159105
BRFEHS8Y72WAUKHZ,4,51:09.0,58,Noam,No ,Educational,0,48,0,134,13,3218,4443,3944.075328
BBAEJKEBQGU5CPUT,38,20:59.0,283,Jase,No ,Technology,0,82,1,470,9,2371,6303,711.243456
WSCEFUV4TVWT73ZB,3,46:30.0,0,Henry,Yes,Child_care,0,27,0,289,16,2368,4231,-3584.79555
NKCE5QSZKK7Z4R2M,39,22:59.0,55,Rudra,Yes,Fashion,0,31,0,374,16,1842,3179,2881.2987
SNDEBCQZHYXUYHPN,42,48:55.0,58,Unity,Yes,Fashion,0,57,0,363,11,7425,10250,9151.274592
ACCDXFPYHYPFXGCY,5,02:29.0,469,Zerenity,Yes,Cosmetics,0,46,0,252,13,7137,8866,8211.01104
ACCEAZCV9RKUAMHA,41,12:54.0,350,Javon,Yes,Pet_care,3,69,0,158,10,6646,9290,8052.6303
FABE87A83EKNGXVN,30,29:07.0,469,Verity,No ,Technology,0,14,0,477,8,3557,4742,4629.357018
SBEEH3QGU7MFYJFY,14,07:06.0,1,Noah,No ,Pet_care,0,41,1,136,3,3574,4756,641.20734
TOPEDQDFYDDZWY58,46,22:08.0,27,Eily,Yes,Educational,0,60,0,111,10,6659,9900,8209.80745
LJGED28UYTZQGQQG,28,11:55.0,55,Lana,Yes,Repair,0,63,0,258,2,4440,6490,5666.8491
PCSE93H4FSGSJHU6,43,10:02.0,320,Henrry,No ,Child_care,0,87,0,260,11,8257,15501,11977.08019
TSHE4DNGWNY3TE4B,23,55:26.0,358,Aamina,Yes,Home_decor,3,52,0,258,13,2120,15949,9244.692864
ACCE8TZFCREV9NK5,20,11:47.0,358,Saeed,No ,Home_decor,3,27,0,258,14,2486,14677,8829.381225
NKCEFGFUSZQCGUYN,31,57:15.0,447,Britta,No ,Child_care,0,12,0,326,7,1587,4420,3331.26684
BRAEGJFZYEW2BMFJ,14,55:43.0,38,Khalessi,Yes,Educational,3,49,0,152,12,4198,8015,6225.728688
NKCECW7BSTZBHH6R,2,26:11.0,268,Tyrus,Yes,Hospitality,2,28,,340,9,945,2956,
SHIEBZB4JHGWHX5Z,27,32:44.0,441,Jamarcus,No ,Home_decor,0,80,0,241,12,3020,4383,3858.13385
DRPEHYHNHVKHZCZG,43,05:16.0,451,Revan,Yes,Technology,0,87,0,458,13,4724,6418,5949.318144
BKPEHD443RRF8PN3,9,20:00.0,165,Deandre,Yes,Repair,0,93,0,258,9,3662,5596,4820.737152
BOTEJRZF6THZAYNT,49,20:59.0,11,Talon,Yes,Pet_care,3,77,0,183,10,567,1309,1110.7206
DKOECHX36VQW47UN,22,20:13.0,423,Anniston,Yes,Organic,0,6,0,101,6,5509,9435,7576.722252
TSHEDB4N3EGFZHWF,12,55:43.0,358,Amadeo,No ,Organic,3,21,0,105,8,2945,8553,5843.9535
BNGEB467ZXZZ4HWS,24,22:19.0,58,Luci,Yes,Technology,1,39,0,646,10,3251,4273,4400.7306
ACCEJGYYMTQR4JXY,10,13:25.0,14,Jordyn,Yes,Cosmetics,0,80,0,248,15,3278,4593,4095.1385
TOPEDHATHJRHTNMP,13,09:55.0,235,Alexandria,No ,Technology,2,64,0,587,10,3166,5807,5027.2101
NKCEBFWTSJSWQVJ2,29,56:45.0,55,Itzae,Yes,Cosmetics,0,95,0,214,12,4100,5368,4882.347008
BLAE6DPHGJXV84EH,21,19:21.0,85,Duncan,Yes,Home_decor,2,89,1,240,15,1805,2627,363.5858688
ACCEHZF95ZRCKACD,7,19:45.0,358,Linda,Yes,Cosmetics,3,31,0,,,9483,13644,11761.21328
CRTECN2QXXNYW7QY,12,25:12.0,3,Josephina,Yes,Fashion,0,32,0,369,14,1247,,2632.572075
PCSEBAGCPVDXVN7G,20,49:33.0,230,Breya,Yes,Cosmetics,1,76,0,247,14,8227,10814,9683.0217
TOPDQAUYZKH2GDTM,5,48:23.0,14,Annistyn,Yes,Pet_care,0,51,0,155,7,3339,4327,3965.139648
SHOE9T33EJDNTZ68,32,26:36.0,451,Chiara,No ,Pet_care,0,73,0,158,2,4795,6572,5784.2136
CRTECN2QWPZM7GRF,43,23:15.0,111,Avalee,Yes,Home_decor,1,86,0,210,14,1129,3142,2314.671744
NKCE8BG8TGGG3HV5,34,05:12.0,65,Sora,Yes,Repair,2,68,0,266,7,3271,5304,4510.935
MUGE9RHN8PQP28CJ,17,25:21.0,23,Mauro,Yes,Child_care,1,70,0,295,16,2710,5516,4370.4342
BRAEDSKCPTZTAU8H,50,36:19.0,103,Noble,Yes,Child_care,1,17,0,328,,3790,6945,5699.759967
NKCE3H9T7EKKXHG3,45,09:55.0,0,Esmae,No ,Cosmetics,0,45,1,230,17,1546,3162,385.71552
NKCEAX7HUGVMK8RZ,12,56:48.0,165,Rosella,Yes,Child_care,0,52,0,263,13,3514,5021,4507.01928
RTRE9WHYCSYHZKDM,19,56:39.0,24,Bliss,No ,Pet_care,0,75,0,104,9,8262,,9766.1322
BRAEDTP5YKZBKWKH,5,36:10.0,110,Maribel,Yes,Repair,0,77,0,258,4,710,999,1101.7116
YSPEGGA5JKZFHP97,42,03:11.0,83,Mianna,Yes,Repair,1,87,0,259,1,4480,9795,7290.690176
NKCEA5FHCBGVS9XG,40,27:10.0,443,Demetria,Yes,Repair,0,93,0,202,1,5708,7571,6743.632896
PCSE4Q73ZVYGCYMF,43,56:37.0,83,Halina,Yes,Cosmetics,0,89,1,271,12,2284,14031,1247.516794
TOPECWG8VERZQNGA,16,57:47.0,14,Israel,No ,Educational,0,7,1,173,7,3295,4992,647.845209
INKDYVCR6P5Y9JDF,36,08:06.0,447,Damari,Yes,Child_care,0,75,1,267,10,5231,8004,1023.33132
TSHEGHHNH8AEGG7V,28,36:19.0,58,Eliel,No ,Cosmetics,0,12,0,212,12,3645,4612,4345.015455
PCSE4VAVKNSGYRN7,1,40:11.0,93,Josiyah,Yes,Child_care,2,48,1,273,6,4535,7531,940.3857648
ACCEJ6TEWH4WGYNF,18,09:31.0,275,Eyden,No ,Repair,0,79,0,254,5,4489,5929,5410.944
LJGEJUG4GHSHHQ9A,34,20:59.0,358,Madden,Yes,Repair,3,43,0,257,9,4505,14923,9915.869664
CCVEFVXGHKNCVZ5A,2,52:39.0,131,Xia,No ,Fashion,0,74,0,363,12,2085,6513,4620.4884
HLMEJP6GND3GQESW,8,15:12.0,447,Callan,Yes,Home_decor,0,46,1,287,10,4568,6014,832.1335416
CRTECN2QUPEM5TEE,11,31:31.0,452,Aubry,Yes,Technology,0,72,0,468,6,3067,4426,4174.5825
SUDEGGAWF8KYYB83,38,17:08.0,186,Erielle,Yes,Child_care,0,17,0,274,14,4487,8784,6918.098121
WATDXFGTKC3HBKWM,7,42:25.0,24,Kirill,Yes,Technology,0,72,0,585,7,6559,9493,8530.4538
SHOEHYEZ73SMT8HR,28,36:34.0,23,Betsy,Yes,Pet_care,1,68,0,165,1,3582,5581,4699.4904
PPSEGFYAGD8FYUXV,16,46:30.0,1,Madison,Yes,Organic,0,47,0,133,5,5230,7878,6647.462208
SHIECV5BYUZEQJT7,39,00:53.0,452,Ahna,Yes,Technology,0,56,0,507,16,4139,5638,5368.738752
MUGEACY8DDVJ8QAD,30,22:59.0,451,Maximillian,Yes,Fashion,0,53,0,,17,4627,,5512.304016
TROEGJZZFZ4QJBAW,30,36:19.0,205,Emmit,Yes,Hospitality,0,9,0,259,13,,3224,2939.186052
ACCDQDYBHJGAG4NQ,22,17:41.0,60,Jaleigh,Yes,Educational,3,17,0,148,17,247,1337,941.255865
PCSDYQEWHCZUKEZA,33,25:25.0,358,Kady,Yes,Fashion,3,1,0,379,14,6796,12106,9842.245677
BRAEDQFRK3PYUHSZ,36,36:19.0,63,Bellamy,No ,Repair,1,61,0,283,3,2006,11705,7069.1544
CRTECN2QYMZVFQMR,36,20:35.0,14,Azlyn,No ,Organic,0,91,0,130,8,3724,4529,4198.45888
WATDZDGRHWMT3DH8,23,40:07.0,24,Saba,Yes,Child_care,0,76,0,314,11,7017,10671,9076.0527
TOPEDZ8BFNBWQYGT,8,10:20.0,441,Daphne,No ,Cosmetics,2,80,0,208,14,3617,5321,4577.88665
NKCEDCT9AQ6WHDS7,47,18:43.0,199,Stevie,Yes,Cosmetics,0,5,0,252,17,4071,7530,6061.753764
NKCE3JRM9JFFFGEG,30,18:00.0,73,Koltin,No ,Cosmetics,0,66,0,292,17,2231,3321,3041.9928
TLPEG6GSDFSCZPF2,26,05:16.0,443,,Yes,Pet_care,0,65,0,157,7,4871,6745,5909.3793
TSHEBSFAYNFJY6ZY,2,02:09.0,255,Edwardo,No ,Home_decor,2,32,0,280,10,124,604,642.7491
SHIEAT33F8AZFEFS,24,25:12.0,13,Constantine,Yes,Pet_care,3,28,0,188,7,365,2127,1431.282825
MTYEGYZZDG269NCS,20,18:06.0,24,Ikaika,Yes,Fashion,0,49,0,357,17,5764,7916,7162.494768
WATE34FM4B65YDDE,4,10:55.0,0,Franki,Yes,Child_care,0,43,1,342,9,8648,12706,1643.704034
CPCEH2BTCQSH457P,33,42:28.0,3,Kingsley,No ,Repair,0,68,0,205,8,1693,2929,2492.6715
MUGEAGGKHSCYMGZG,7,18:42.0,23,,No ,Organic,1,57,0,139,9,2587,4660,3741.659136
PCSEE2FEGTHTUGRD,23,55:13.0,320,Aneesa,Yes,Cosmetics,0,38,0,233,14,2202,15805,9225.97725
CRTECN2QXZ3GQWH8,46,25:21.0,447,Arrow,Yes,Hospitality,0,23,0,325,9,2630,,3526.551525
BRAE4A6VTDX9SC2C,31,36:10.0,423,Garrison,Yes,Organic,0,34,0,142,5,3291,8577,6063.772575
CAGE8X8XXY7YGMFM,24,09:16.0,192,Leighla,Yes,Child_care,0,69,1,260,7,2219,6851,712.528245
RNGEAXGWCT4VVTWR,45,20:59.0,407,Gunnar,No ,Home_decor,0,86,0,208,11,,4378,3375.709568
SHIEHXZEWWACSXRQ,26,20:20.0,62,Kaizen,Yes,Child_care,0,70,,290,7,2895,12275,7801.5069
SKIE2T2YHZFNXCDH,31,04:22.0,116,Breeze,Yes,Hospitality,0,71,0,284,11,3354,4345,4096.3527
SHIE7ZWA4HYWCZS4,12,23:34.0,58,Virgil,No ,Educational,1,28,0,122,15,2745,4082,3531.76845
RNGDTBQUQD5V3PMY,11,12:57.0,358,Carly,No ,Hospitality,3,47,0,242,6,3781,13928,9043.558416
SFFEH2FGDBS7DMQK,43,55:43.0,97,Kemora,Yes,Educational,0,76,0,146,16,2552,6943,4852.089
SHIEBCQZGGHHX6RE,29,52:23.0,14,Jahzara,No ,Fashion,0,82,0,398,17,3589,5164,4713.080064
PCSEAH5WEMVJMB3D,49,24:03.0,24,Kaige,No ,Cosmetics,0,7,0,235,16,5563,7986,7019.637966
BRAECFAQRHZFSURE,4,48:33.0,55,Cambree,Yes,Home_decor,0,97,0,253,16,838,2685,1988.270592
TOPE7ZHYBZVK5MGY,50,10:20.0,447,Noel,No ,Hospitality,0,94,0,282,9,3220,4545,4107.970944
LJGEATZRMUMFTZZH,10,48:01.0,115,Tasia,No ,Organic,0,78,0,112,5,3170,4319,3819.7863
NKCE7PZPZZGDSGBE,19,26:36.0,162,Amaryllis,No ,Repair,1,65,0,267,1,4224,5782,5217.795
ACCE6CRF92JBR2HT,33,25:22.0,14,Ireland,No ,Pet_care,0,90,0,130,2,4431,,5398.200192
SWSEDXEYHWHW5UF4,12,30:04.0,37,Casandra,No ,Educational,2,86,0,131,17,7426,10131,8795.908352
SHIEC89JFZXDEF6Z,37,23:13.0,3,Lenore,Yes,Repair,0,18,0,225,8,2303,3486,3121.507818
TLPECJY7GHNHFKMZ,13,32:23.0,24,Kameron,Yes,Organic,0,97,1,113,5,4272,5930,771.214752
MUGEB7J7TTV5URK4,3,30:05.0,113,Aminata,Yes,Technology,0,46,0,465,7,1491,3778,3081.491424
CRTECN2QYU3XZ9GY,19,24:08.0,100,Juno,No ,Educational,0,66,0,127,6,1169,2825,2103.948
MNKE7VFJG9PCYHRU,9,24:59.0,74,Aleeah,Yes,Home_decor,0,16,0,263,10,2847,,3655.024461
SHIECGFT7U8W3ZQN,11,57:15.0,3,Averee,No ,Fashion,0,19,0,379,13,2837,4190,3896.680293
MATEHFNNMZUFNXP3,30,16:37.0,57,Joslin,Yes,Child_care,0,2,0,255,16,5110,8108,6873.882543
BRAEA5MZ4C3JY6KE,11,36:36.0,24,Britney,Yes,Pet_care,0,1,0,169,10,6425,8983,7879.91193
NKCECZFZGZBQKCRD,21,27:52.0,57,Elie,Yes,Fashion,0,12,0,372,11,2812,8121,5843.925549
RNGEDAK9ZKYRNXNA,21,20:13.0,443,Ronnie,Yes,Home_decor,0,94,0,250,10,5692,8117,7058.27584
BRAE5PKZGT7AMYZJ,12,33:35.0,70,Smith,No ,Home_decor,2,89,0,265,14,1419,4248,3057.794432
BRAE74BRVJGNHFYY,23,36:21.0,268,Brennen,Yes,Organic,2,5,0,147,9,786,1934,1508.069178
LJGEHWCZAHHC6GME,28,25:22.0,58,August,Yes,Child_care,0,86,0,273,15,5497,7865,6863.738112
PBXE94SPXBWTREHR,6,56:06.0,451,Matix,Yes,Home_decor,0,84,0,217,15,5801,7990,7020.271104
TOPE8VYAVY9ESVJ6,11,12:57.0,9,Callie,Yes,Cosmetics,3,12,0,297,14,5031,13343,9495.910314
SHTE6YYZTJU2UUG3,5,12:45.0,444,Jewel,Yes,Repair,1,69,1,216,5,5934,8806,1127.06748
SHIEBMJJEU2PJKCV,42,23:13.0,24,Ocean,No ,Home_decor,0,36,0,288,12,3771,4675,4504.779825
NKCECGVBP95YTKNA,9,56:10.0,452,Kalise,Yes,Pet_care,0,50,0,127,5,6107,8361,7317.486432
LJGEA3HF99BWZBFA,5,51:49.0,3,Salih,Yes,Child_care,0,47,0,330,7,4106,5371,5039.360352
MUGE5HG8G63YKHFB,16,28:21.0,146,Eithan,Yes,Repair,2,68,0,250,5,,,2079.9207
ETHEGHXTG55TQKX5,20,12:22.0,204,Aashna,No ,Cosmetics,0,60,0,252,15,4237,6587,5544.4973
BRAE3TSHYZTHHE2F,25,08:07.0,452,Ira,Yes,Technology,0,30,0,642,,6251,8802,8157.086175
PBXE7NYSMCFFTRG3,42,54:05.0,103,Kristofer,Yes,Cosmetics,0,66,0,253,14,10560,16382,13605.4314
NKCEFH7VWH8UE5AD,34,09:20.0,452,Vansh,Yes,Home_decor,0,58,1,253,10,3625,5198,695.8543464
SHIE8BUQYZXJKKZM,2,09:44.0,23,Aja,No ,Cosmetics,2,12,1,274,12,1168,4122,438.2816675
SHOEHYEX8J32HYWR,26,36:19.0,367,,Yes,Cosmetics,0,78,0,204,15,2592,,3657.2877
BRAEFR6JZYHZNSGG,18,36:19.0,114,Salem,Yes,Pet_care,0,21,0,174,10,840,3524,2352.28455
MATEB88TF9EUTHYR,46,11:55.0,73,Blakely,Yes,Home_decor,0,5,0,221,17,2843,4289,3792.680694
SOCEGMXG4JPEFDVC,7,31:34.0,24,Mailyn,No ,Child_care,0,99,0,257,7,4573,6063,5498.386432
RNGDUZU5QVRZMSVB,35,11:11.0,55,Kyleigh,No ,Home_decor,0,30,0,258,15,4460,6441,5702.3883
WATDXB5HPZFBCDG4,1,57:47.0,83,Daymian,Yes,Cosmetics,0,5,0,247,14,1833,9337,5839.236018
CRTEB774VG87VGWC,9,22:14.0,13,Shalom,Yes,Technology,3,5,0,640,9,312,2102,1847.905191
NKCE49ATZKM7MGZA,3,30:05.0,268,Wayde,Yes,Cosmetics,0,16,0,287,15,1506,3896,2991.750795
BRAEBBYRUYDHCZNG,6,36:19.0,79,Lela,Yes,Educational,0,24,0,100,5,1317,1907,1708.527975
NKCEBFWTZFCYPFQJ,15,11:37.0,268,Loukas,Yes,Organic,0,1,0,113,6,1732,3234,2597.230251
BRAE3P8YB385MSKN,39,32:15.0,23,Cael,Yes,Fashion,0,72,0,356,14,4533,7840,6485.6484
SWSEHUF9PRYCHNQF,40,45:54.0,1,Brylynn,No ,Hospitality,0,79,1,209,8,1333,5013,502.60419
TOPDYTMFQNAGZVNG,13,48:23.0,58,Brigitte,No ,Hospitality,0,29,0,349,12,4071,5621,5187.81795
WATDG9F723NCPXNU,29,40:07.0,80,Aeson,Yes,Organic,2,27,0,110,7,6211,11544,8971.225725
ACCEA9K5ZCDNRGXN,9,09:22.0,469,Daleyza,Yes,Cosmetics,0,60,0,259,17,4355,,5253.26095
BRAE8WPSVX3UZDGV,22,08:35.0,24,Abbie,Yes,Pet_care,0,77,0,119,6,6381,9533,7999.9623
PBXEAREZRNRE8BBY,39,56:33.0,70,Jacion,No ,Fashion,2,98,0,,16,3225,5287,4592.708736
MUGEBJ7XKJDMNXY3,27,23:50.0,443,Jaysen,Yes,Cosmetics,0,56,0,206,15,2761,3963,3550.172544
NKCE9DQYQ3FFGRE7,45,56:20.0,451,Aleczander,No ,Pet_care,0,32,0,166,9,6068,8070,7223.2566
NKCE6HZQBRWBYZNZ,20,02:33.0,121,Dakotah,Yes,Educational,0,98,0,130,8,1193,3728,2555.138432
TOPEDCHAAH2UHQSR,33,19:45.0,39,Reese,Yes,Fashion,3,16,0,363,12,2978,5626,4669.692984
CAGEBTGH9UG35CDA,28,56:11.0,445,Neev,No ,Organic,0,85,0,148,8,7184,9732,8488.746112
WATE6Y6D2MZHWGBZ,25,25:52.0,459,Alexa,No ,Fashion,0,64,0,355,12,6050,9081,7850.2842
PRCDXZP2ZFHQHUH7,21,46:47.0,1,Everlyn,No ,Educational,0,12,0,100,17,1515,5353,3539.486016
NKCE7ZNGWZBHRMGY,5,38:38.0,70,Riggins,Yes,Organic,2,74,0,143,7,1305,5650,3586.7007
RNGE7M92W7Q2JWHU,41,14:10.0,463,Darian,Yes,Organic,0,56,0,136,7,1571,3392,2602.476864
RTRDMTEPMWHHPSUS,43,29:43.0,70,Keyan,No ,Hospitality,2,96,0,225,12,5761,11896,8933.567104
ACCEBUZ5YFCZFECG,8,23:29.0,443,Faisal,No ,Home_decor,0,29,0,299,14,3582,4898,4533.57765
NKCE38HBGUZ6W6G8,43,13:16.0,55,Yareni,Yes,Hospitality,0,7,1,329,11,2428,5936,677.272266
TOPE8DPRTAKVHKRW,30,03:00.0,454,Cecilia,Yes,Cosmetics,0,77,0,209,12,2621,5024,3995.7291
CRTECN2QSSWVZGRC,34,18:49.0,358,Lani,No ,Fashion,3,10,0,353,12,1758,6758,4615.648389
SHIEHGXHM6VBHTUR,50,23:46.0,141,Marcelo,Yes,Home_decor,0,5,0,205,13,4444,5511,5188.451103
SHIECKYBVDJ7FBSG,16,51:17.0,57,Adyn,No ,Hospitality,0,91,0,307,8,3467,5324,4638.253312
SOCEGHEYK3GZHHEP,46,07:34.0,452,Sheridan,No ,Hospitality,0,57,0,335,11,4545,5540,5348.59848
BRFEGHPVKBFEJZ3N,6,58:45.0,38,Jamarian,Yes,Fashion,3,90,0,367,15,4420,11059,8001.209216
WATECQHN32HEEQGY,21,26:24.0,9,Jonah,No ,Hospitality,3,47,0,253,8,7258,11265,9460.969776
NKCEAGXHF37GN8DA,4,56:43.0,452,Leonora,No ,Repair,0,73,0,217,6,7001,9569,8421.9003
PCSE93H3KFSDC6ZY,24,01:48.0,74,Heba,Yes,Technology,0,45,0,536,12,8653,11277,10445.67706
SUDEGGB2DNYGWWAJ,42,01:45.0,3,Cheyann,No ,Cosmetics,0,64,1,239,14,3830,6169,778.95675
BRAECTFYGGGQMX29,24,48:23.0,165,Queen,Yes,Fashion,0,50,0,,16,3396,,4405.085856
RNGE7GVYVUZTYDQN,40,19:52.0,358,Justus,Yes,Repair,3,66,0,263,3,4223,13603,9086.8833
MUGEAGGKURWPVVSW,24,19:46.0,55,Roselynn,No ,Fashion,0,1,0,395,17,979,2792,2283.481629
TOPEGFXUHQGDNZ8A,24,22:36.0,358,Ariah,Yes,Organic,3,28,0,133,6,4081,14589,9449.916
SHOEFECFE5BHMYZA,45,46:08.0,216,Ameenah,No ,Repair,0,6,0,289,1,261,488,663.473646
NKCEC87GRQZAJXGH,35,56:38.0,93,Cesia,Yes,Cosmetics,2,42,0,287,13,4445,,6360.470784
WATDZRZGCSSQ8RYS,37,40:07.0,113,Kaeleigh,Yes,Pet_care,0,84,0,150,7,3543,13427,8516.510464
TOPEAUZ3KNTUPHGG,1,55:13.0,367,Jenae,No ,Home_decor,2,77,0,290,13,3024,6832,5172.1659
CRTECN2QZ6S5X2QN,15,20:36.0,3,Kamarion,Yes,Pet_care,0,29,0,182,8,1682,2689,2363.326875
CRTEHZVWXUFJN78Y,46,38:25.0,452,Haily,Yes,Repair,0,46,0,253,6,4121,6150,5357.073888
NKCDWBPZXXH9WGJB,27,28:21.0,100,Klay,No ,Organic,0,82,1,122,6,3029,4191,552.0596928
NKCE76TNPGCGMMJA,36,12:36.0,121,Hashir,Yes,Pet_care,0,25,0,108,4,1237,3783,2612.4525
SHOEG83P23D6WQH3,18,10:20.0,63,Kaelyn,Yes,Child_care,1,70,0,269,6,1467,2483,2222.7282
TOPE34FEMX9JREEZ,7,57:10.0,231,Cassiel,Yes,Educational,2,6,0,165,16,6204,7614,7084.341495
NKCECGVB6FPY5BFF,2,56:43.0,14,Hazen,No ,Pet_care,0,85,0,141,6,5195,7772,6532.941184
PBXEAT5Y5YSQVE2D,48,21:02.0,124,Scotty,No ,Repair,0,66,1,233,5,1991,2754,387.093465
HBLEGGM6MMQMZWK8,50,03:19.0,111,Mirielle,Yes,Technology,0,44,0,643,14,3314,6804,5672.541888
